id,Title,Overall Rating,Year,Genre,MPAA Rating,Directors,Actors,Plot
96,Power Rangers,2.44/4,2017,Action/Fantasy,PG-13,Dean Israelite,"Naomi Scott, Becky G., Dacre Montgomery","A group of high school outcasts finds themselves imbued with superpowers after stumbling upon an alien ship. The new ""Power Rangers"" must harness their powers when an age-old enemy returns, having killed the previous generation of rangers, and imperils the world."
97,Aftermath (2017),2.57/4,2017,Drama/Thriller,R,Elliott Lester,"Arnold Schwarzenegger, Maggie Grace, Kevin Zegers",
98,Mine (2017),2.75/4,2017,Thriller/War,NR,"Fabio Guaglione, Fabio Resinaro","Armie Hammer, Annabelle Wallis, Tom Cullen","After a botched assassination, a marine finds himself stranded in a hostile desert territory and, to make matters worse, in an area filled with 33 million blast mines, he has inadvertently stepped on one. With 52 hours until a convoy is set to extract him, without food or water, he will have to survive harsh conditions while staying glued to the spot, putting all his skills to the test."
99,Jungle (2017),2.75/4,2017,Action/Drama,R,Greg McLean,"Daniel Radcliffe, Thomas Kretschmann, Alex Russell",
100,The Hitman's Bodyguard,2.52/4,2017,Action/Comedy,R,Patrick Hughes,"Ryan Reynolds, Samuel L. Jackson, Salma Hayek",The wold's most respected and in-demand bodyguard finds himself with a new client - a former hitman who is looking to testify at International Court of Justice. But arriving on time turns out to be more difficult than planned and the two will have to learn together in order to survive and make it to trial.
101,Gerald's Game,2.88/4,2017,Horror/Thriller,NR,Mike Flanagan,"Carla Gugino, Henry Thomas, Bruce Greenwood","A wife and husband retreat to remote lake house in hopes of putting some spark back in their marriage, but after being handcuffed to the bed, the husband dies of a heart attack leaving her to fend for her life... and her demons."
102,Justice League Dark,2.90/4,2017,Animation/Action,R,Jay Oliva,"Rosario Dawson, Jeremy Davies, Jason O'Mara",
103,Professor Marston and the Wonder Women,2.83/4,2017,Biography,R,Angela Robinson,"Luke Evans, Rebecca Hall, JJ Feild","Dr. William Marston was a Harvard professor, psychologist and inventor - and also the creator of Wonder Woman. He was inspired by both his wife, Elizabeth - also an psychologist and inventor, along with Olive Byrne, a former student. All three formed a polyamorous relationship which helped shape Wonder Woman, and the controversy surrounding the character."
104,My Friend Dahmer,2.79/4,2017,Biography/Crime,R,Marc Meyers,"Ross Lynch, Anne Heche, Dallas Roberts","Based on the acclaimed graphic novel from Derf Backderf, the film follows the high school life of a young man named Jeffrey Dahmer. Before he become known as a notorious serial killer, he was just another shy student turning to alcohol when he couldn't find anywhere to fit in."
105,Song to Song,2.79/4,2017,Drama/Romance,R,Terrence Malick,"Haley Bennett, Ryan Gosling, Natalie Portman",
106,Battle of the Sexes (2017),2.79/4,2017,Biography/Sport,PG-13,"Jonathan Dayton, Valerie Faris","Emma Stone, Steve Carell, Elisabeth Shue","In 1973 two titans of tennis came together to prove if women could truly compete with men. World's women champion Billie Jean King took on ex-men's champion (and serial hustler) Bobby Riggs in what was first billed as a stunt but went on to change the course of not just tennis, but sports in general."
107,The Man Who Invented Christmas,2.79/4,2017,Biography/Comedy,PG,Bharat Nalluri,"Dan Stevens, Jonathan Pryce, Christopher Plummer","Takes a look in to the life of Charles Dickens, and the real people around him who helped inspire ""A Christmas Carol"" and forever altered the holiday as we know it today."
108,I Don't Feel at Home in This World Anymore,2.72/4,2017,Crime/Thriller,NR,Macon Blair,"Melanie Lynskey, Elijah Wood, David Yow",
109,"King's Choice, The ( Kongens nei )",3.17/4,2017,Drama/Historical,NR,Erik Poppe,"Jesper Christensen, Anders Baasmo Christiansen, Juliane K̦hler",
110,Dave Made a Maze,3.17/4,2017,Comedy/Horror,NR,Bill Watterson,"Nick Thune, Kirsten Vangsness, John Hennigan",
111,Small Town Crime,3.17/4,2017,Thriller,R,"Eshom Nelms, Ian Nelms","John Hawkes, Octavia Spencer, Robert Forster",
112,David Lynch - The Art Life,3.17/4,2017,Documentary,NR,"Jon Nguyen, Rick Barnes, Olivia Neergaard-Holm",David Lynch,"One of the most notable and unique visionaries in film, David Lynch takes us on a journey of his formative years that shaped him - his idyllic small-town upbringing to the dark streets of Philadelphia. Infused with the early work of Lynch - art, music and film, The Art of Life delves in to the mind of this enigmatic man and gives us a better understanding of the man and the artist."
113,"Foreigner, The (2017)",2.67/4,2017,Action/Thriller,R,Martin Campbell,"Jackie Chan, Pierce Brosnan, Charlie Murphy","When his daughter is killed in a terrorist bombing, a businessman seeks answers to who is behind it. When he is stonewalled at every turn, he returns to a life long buried - and starts to play a cat-and-mouse game with a government official whose own dark past may hold the key to finding terrorists responsible."
114,Suburbicon,2.58/4,2017,Comedy/Crime,R,George Clooney,"Matt Damon, Oscar Isaac, Josh Brolin","Suburbicon seems like the idyllic place to raiser your family in 1959 - peace and quiet with well-manicured lawn and identical housing. But husband and father Gardner Lodge doesn't see that. A dead wife, mob enforcers and angry mobs - it may look perfect from the outside, but underneath lies a whole other, dangerous world."
115,Jigsaw (2017),2.43/4,2017,Horror/Thriller,R,"Michael Spierig, Peter Spierig","Laura Vandervoort, Tobin Bell, Hannah Emily Anderson","A new set of bodies are being discovered, each with a signature gruesome demise. Everything seems to point to John Kramer, the man once known as Jigsaw, despite the fact he died over a decade ago. His legacy, however, remains - and Jigsaw is born again."
116,The Belko Experiment,2.41/4,2017,Horror/Thriller,R,Greg McLean,"Michael Rooker, Tony Goldwyn, Adria Arjona","A group of 80 Americans find themselves trapped in a high-rise in Bogata, Colombia. There they are forced to participate in a twisted social experiment - one in which the outcome is simple: kill or be killed."
117,The Great Wall,2.34/4,2017,Mystery/Thriller,PG-13,Yimou Zhang,"Matt Damon, Willem Dafoe, Pedro Pascal","Long-held belief was that The Great Wall of China, now considered on of the new 7 Wonders of the World, was constructed to keep the Mongolian horde at bay. That is the story but what if the wall was meant to keep something else at bay, something far more sinister and evil and what of the men that defended humanity?"
118,Marjorie Prime,2.60/4,2017,Comedy/Drama,NR,Michael Almereyda,"Jon Hamm, Geena Davis, Tim Robbins",
119,Security,2.60/4,2017,Action/Crime,R,Alain Desrochers,"Antonio Banderas, Ben Kingsley, Liam McIntyre",
120,An Inconvenient Sequel: Truth to Power,2.60/4,2017,Documentary,PG,"Bonni Cohen, Jon Shenk","Al Gore, Barack Obama, Donald J. Trump","A decade ago, Al Gore's lecture about the dangers of climate chance brought the issue into mainstream media. Ten years later, while strides have been made, a dangerous tipping point is coming soon and nothing less than the future of humanity is at stake based on the decisions we make today regarding the ongoing issue of climate change."
121,The Limehouse Golem,2.60/4,2017,N/A,N/A,Juan Carlos Medina,"Olivia Cooke, Bill Nighy, Mar_a Valverde",
122,Wonderstruck,2.60/4,2017,Drama,PG,Todd Haynes,"Amy Hargreaves, Julianne Moore, Michelle Williams",Two tales - one of a Midwestern boy and another of a girl from New York 50 years in the past is played out simultaneously through a mysterious connection they both share.
123,Thank You for Your Service,2.60/4,2017,Biography/Drama,R,Jason Hall,"Haley Bennett, Miles Teller, Amy Schumer","The effects of war linger on long after the men and women serving in the armed forces come home. Adam Schumann is one such soldier and the film explores how PTSD affects him, and those closest to him."
124,King Arthur: Legend of the Sword,2.32/4,2017,Fantasy/Adventure,PG-13,Guy Ritchie,"Charlie Hunnam, Astrid Berg̬s-Frisbey, Jude Law","A young Arthur has grown up in the alleyways and backstreets of London, with no knowledge of his royal lineage until he does the impossible and pulls Excalibur - the Sword in the Stone. Forced in to his new role, he joins an underground rebellion, learn to utilize the power of his sword and unite the people against the dictator Vortigern - the man who killed his parents."
125,"Other Half, The (2017)",2.83/4,2017,Drama/Romance,NR,Joey Klein,"Tatiana Maslany, Diana Bentley, Tom Cullen",
126,Hounds of Love,2.83/4,2017,Crime,NR,Ben Young,"Emma Booth, Ashleigh Cummings, Stephen Curry",A couple kidnaps a girl for their sick love game.
127,Tragedy Girls,2.83/4,2017,Comedy/Horror,R,Tyler MacIntyre,"Brianna Hildebrand, Kevin Durand, Josh Hutcherson",
128,Annabelle: Creation,2.23/4,2017,Horror,R,David Sandberg,"Stephanie Sigman, Alicia Vela-Bailey, Miranda Otto","A dollmaker and his wife, whose daughter tragically died twenty years earlier, decide to open their home to a nun and several girls from an orphanage;The dollmakers creation Annabelle, that is possessed, starts to target children filling the home with terror and horror."
129,Journey to the West: The Demons Strike Back,2.50/4,2017,Adventure/Fantasy,PG-13,Hark Tsui,"Kenny Lin, Kris Wu, Mengke Bateer","The continuing journey of Tang Seng, as he travels West, exorcising demons with his three disciples. Even though everything appears to be calm on the outside, inner turmoil threatens to split the group apart. If they can learn to work together, and learn each other's stories, the fabled team could become legendary."
130,Detour (2017),2.50/4,2017,Thriller,R,Christopher Smith,"Tye Sheridan, Emory Cohen, Stephen Moyer","With his mother in a coma following a car accident, upstanding law student Harper lands in a bar looking to drink his troubles away. But a chance encounter with a young hothead Johnny Ray and stripper Cherry put him on a path to Las Vegas where he has unwillingly set up a $20,000 hit on his step-dad, who he suspects is behind his mother's accident."
131,Don't Knock Twice,2.50/4,2017,Horror,R,Caradog W. James,"Katee Sackhoff, Lucy Boynton, Javier Botet",
132,Realive,2.50/4,2017,Drama/Sci-Fi,NR,Mateo Gil,"Tom Hughes, Charlotte Le Bon, Oona Chaplin",
133,"Ritual, The (2017)",2.50/4,2017,Horror,NR,David Bruckner,"Rafe Spall, Arsher Ali, Robert James-Collier","A group of college friends reunite to celebrate the memory of one they lost on a hiking trip. But when one gets injured, they decide to cut through the forest to save time - but this forest is home to a malevolent spirit, and it doesn't like being disturbed."
134,The Lego Batman Movie,3.00/4,2017,Animation/Comedy,PG,Chris McKay,"Will Arnett, Rosario Dawson, Ralph Fiennes","Bruce Wayne - rich, powerful, gad-about-town. Batman - vigilante, seeker of justice, deep voice. Dealing with the socialites and criminals of Gotham is hard enough - but what happens when the man/superhero takes on the responsibility of raising an orphaned boy?"
135,War for the Planet of the Apes,2.96/4,2017,Action/Drama,PG-13,Matt Reeves,"Andy Serkis, Woody Harrelson, Steve Zahn","Caesar now leads a nation of genetically-modified apes. But when a human army, led by the ruthless Colonel, starts a war - it leads to staggering losses for the apes. As Caesar recgroups, his darker instincts rise and his quest for vengeance will lead him face-to-face with the Colonel and the fate of both sides will be decided."
