id,Title,Overall Rating,Year,Genre,MPAA Rating,Directors,Actors,Plot
1924,Big Fan,2.84/4,2009,Drama,R,Robert D. Siegel,"Patton Oswalt, Kevin Corrigan, Michael Rapaport","Paul Aufiero may be the New York Giants greatest fan, but when he is beat up by his favorite player, his devotion will be put to the test."
1925,Underworld: Rise of the Lycans,2.68/4,2009,Action/Fantasy,R,Patrick Tatopoulos,"Rhona Mitra, Bill Nighy, Michael Sheen","Prequel to the Underworld films, showing the relationship or the aristocratic vampires, the Death Dealers, and their Lycan slaves. A young Lycan will rally his werewolf kin and strike back against their cruel masters."
1926,Drag Me to Hell,2.68/4,2009,Horror/Thriller,PG-13,Sam Raimi,"Alison Lohman, Justin Long, Lorna Raver","An ambitious loan officer is forced to evict an old woman from her long-time home. But the elderly, mysterious Mrs. Ganush won't go quietly: she places a curse on her - turning her life into a literal living hell. When it is revealed the only way to stop the curse is to pass it on to another person, how far will she go to rid herself of the curse?"
1927,The Young Victoria,2.76/4,2009,Drama/Historical,PG,Jean-Marc Vall̩e,"Emily Blunt, Rupert Friend, Paul Bettany","The film follows on the life of the young Queen Victoria, focusing on her early reign and romance with Prince Albert in the 1830s."
1928,Public Enemies,2.67/4,2009,Crime/Drama,R,Michael Mann,"Johnny Depp, Christian Bale, Channing Tatum","Even though John Dillinger and his gang are outlaws and bank robbers, the depression-era public is enthralled by their daring escapades. The fledgling FBI has made Dillinger their number one priority and top agent Melvin Purvis wants nothing more than to bring the folk-hero bandits to justice."
1929,Goodbye Solo,2.92/4,2009,Comedy/Drama,R,Ramin Bahrani,"Souleymane Sy Savane, Red West, Diana Franco Galindo","An elderly man hires Solo, a Senegalese cab driver, to drive him to a mountaintop in North Carolina where he plans to commit suicide."
1930,"Pirate Radio ( Boat That Rocked, The )",2.75/4,2009,Comedy/Drama,R,Richard Curtis,"Philip Seymour Hoffman, Bill Nighy, Emma Thompson","In 1966 Britain, a pirate radio station run out of the north sea and populated by an eclectic group of rock DJs blasts music 24/7 to 25 million listeners in the UK."
1931,Sin Nombre,2.80/4,2009,Thriller,R,Cary Fukunaga,"Karl Braun, Paulina Gaitan, Diana Garcia",When a Honduran teenager reunites with her father with hopes of realizing her dream to reach America. The promise of a better life comes at a price.
1932,Fast & Furious (2009),2.66/4,2009,Action,PG-13,Justin Lin,"Vin Diesel, Paul Walker, Michelle Rodriguez","Released form prison, Dominic Toretto picks up his feud with FBI agent Brian O'Conner, but has to form a precarious alliance when a new rival appears as a common enemy. One thing is for certain, the score will be settled behind the wheel."
1933,Prayers for Bobby,3.10/4,2009,Biography/Drama,NR,Russell Mulcahy,"Sigourney Weaver, Henry Czerny, Ryan Kelley",
1934,About Elly ( Derbareye elly ),3.10/4,2009,Drama,NR,Asghar Farhadi,"Golshifteh Farahani, Taraneh Alidoosti, Shahab Hosseini",
1935,Brothers (2009),2.67/4,2009,Drama/War,R,Jim Sheridan,"Jake Gyllenhaal, Natalie Portman, Tobey Maguire","Family man and life-long soldier Sam Cahill goes MIA in Afghanistan. His brother, Tommy Cahill leaves his former drifter lifestyle behind to care for his brother's wife and two daughters. When Sam returns and finds his life has been taken from his by his own brother, no one's life will be the same."
1936,"Christmas Carol, A (2009)",2.67/4,2009,Animation/Drama,G,Robert Zemeckis,"Jim Carrey, Gary Oldman, Colin Firth","Animated remake of the Charles Dickens' classic in which a greedy miser is visited by three ghosts and sees his life from the past, present and potential future and ultimately has a change of heart."
1937,Hulk Vs.,2.83/4,2009,Animation/Action,PG-13,"Sam Liu, Frank Paur","Bryce Johnson, Steve Blum, Matthew Wolf","The protective forces surrounding Osgard depleted as Odin lies in a regenerative slumber, mischievous trickster Loki takes advantage of an opportunity to defeat his powerful stepbrother Thor by pitting him against The Incredible Hulk, the only creature capable of destroying the mighty hero who has fought in all nine realms."
1938,"Lorna's Silence ( silence de Lorna, Le )",2.94/4,2009,Drama,R,"Jean-Pierre Dardenne, Luc Dardenne","Arta Dobroshi, J̩r̩mie Renier, Fabrizio Rongione",
1939,Everlasting Moments ( Maria Larssons eviga ̦gonblick ),2.85/4,2009,Drama,NR,Jan Troell,"Maria Heiskanen, Mikael Persbrandt, Jesper Christensen",
1940,The Wild and Wonderful Whites of West Virginia,2.79/4,2009,Documentary,NR,Julien Nitzberg,Jesco White,A portrait of America's last outlaw family.
1941,"Taking of Pelham 1 2 3, The (2009)",2.64/4,2009,Thriller,R,Tony Scott,"Denzel Washington, John Travolta, Luis Guzmn",A subway dispatcher's day is thrown into chaos when an armed gang holds a subway train hostage and demands a large ransom within the hour before they start killing people.
1942,Terminator Salvation,2.59/4,2009,Action/Sci-Fi,PG-13,McG,"Christian Bale, Sam Worthington, Anton Yelchin","The future is now: Skynet has devastated the world with a nuclear holocaust and now a band of humans, led by John Connor, must survive against a merciless army of machines bent on wiping out the last remnants of mankind."
1943,"House of the Devil, The (2009)",2.70/4,2009,Horror/Thriller,R,Ti West,"Jocelin Donahue, Tom Noonan, Mary Woronov","In the early 1980s, Sam, a young co-ed, looks to make some extra cash for an apartment of her own by picking up a babysitting job.  When an elderly couple promises to pay Sam a substantial sum for one evening's work, the job seems just what she's looking for.  But what about that lunar eclipse everyone keeps talking about?  And isn't the house awfully far down that lonely country road in the woods?  And how is it such an old couple needs a babysitter anyway...?"
1944,Monsters vs. Aliens,2.61/4,2009,Animation/Family,PG,"Rob Letterman, Conrad Vernon","Paul Rudd, Seth Rogen, Reese Witherspoon","A young California girl is hit my a meteor and transformed into a giant monsters. Caught by the government and sent to a secret facility, she meets other monsters that have been rounded up over the years and is soon pressed into service to combat an alien invasion."
1945,Two Lovers (2009),2.70/4,2009,Drama/Romance,R,James Gray,"Joaquin Phoenix, Gwyneth Paltrow, Vinessa Shaw","After a recent heartbreak, a man moves back with his parent in Brooklyn. His parents soon try to set him up with a sweet daughter of a family friend, but things become more complicated when he also falls for a beautiful new neighbor."
1946,"Che ( Che Part 1, Che Part 2 )",2.70/4,2009,Biography/Drama,R,Steven Soderbergh,"Benicio Del Toro, Demin Bichir, Rodrigo Santoro","Follows the story of Latin American revolutionary Ernesto ""Che"" Guevara, his band of Cuban exhiles (including Fidel Castro) and how they took over the island nation."
1947,A Perfect Getaway,2.66/4,2009,Thriller,R,David Twohy,"Milla Jovovich, Timothy Olyphant, Marley Shelton","A couple enjoying their honeymoon by exploring a remote Hawaiian paradise come across a terrified group of people who discuss a gruesome murder of another couple. Deciding not to turn back, they seek out two other couples, but soon find there is not safety in numbers as they fight for survival."
1948,Mammoth,2.93/4,2009,Drama,NR,Lukas Moodysson,"Gael Garc_a Bernal, Sophie Nyweide, Michelle Williams",
1949,The Shortcut,2.78/4,2009,Horror/Thriller,PG-13,Nicholaus Goossen,"Andrew Seeley, Shannon Woodward, Dave Franco",Two brothers come upon a rarely used shortcut in their new town.
1950,I Can Do Bad All by Myself,2.72/4,2009,Comedy,PG-13,Tyler Perry,"Tyler Perry, Brian J. White, Taraji P. Henson",
1951,Angels & Demons,2.59/4,2009,Crime/Drama,PG-13,Ron Howard,"Tom Hanks, Ayelet Zurer, Ewan McGregor","The Illuminati, a secret society long thought died out, has resurfaced in Rome and threatens to destroy the Catholic church. It is up to Robert Langdon to follow the clues and unravel the plot before their plans can come to fruition."
1952,Seraphine,2.81/4,2009,Biography/War,NR,Martin Provost,"Yolande Moreau, Ulrich Tukur, Anne Bennent",
1953,Fish Story ( Fisshu sut̫r̨ ),3.13/4,2009,Comedy,NR,Yoshihiro Nakamura,"Vincent Giry, Gaku Hamada, Atsushi It̫",
1954,Diary of a Tired Black Man,3.33/4,2009,Comedy/Drama,R,Tim Alexander,"Jimmy Jean-Louis, Paula Lema, Tim Alexander",
