,movie_id,genre_id,genre_name
1756,604,16,Romance
1757,604,6,Drama
1758,605,0,Crime
1759,605,3,Comedy
1760,605,5,Adventure
1761,606,16,Romance
1762,606,3,Comedy
1763,607,16,Romance
1764,607,11,Historical
1765,607,6,Drama
1766,608,12,War
1767,608,2,Thriller
1768,608,6,Drama
1769,609,15,Family
1770,609,4,Animation
1771,609,7,Action
1772,609,5,Adventure
1773,610,6,Drama
1774,610,7,Action
1775,611,16,Romance
1776,611,14,Fantasy
1777,611,6,Drama
1778,611,3,Comedy
1779,612,16,Romance
1780,612,6,Drama
1781,612,3,Comedy
1782,613,1,Horror
1783,613,2,Thriller
1784,614,0,Crime
1785,614,1,Horror
1786,614,2,Thriller
1787,615,0,Crime
1788,615,2,Thriller
1789,615,7,Action
1790,616,6,Drama
1791,617,19,Sport
1792,617,15,Family
1793,617,17,Biography
1794,617,6,Drama
1795,618,6,Drama
1796,619,0,Crime
1797,619,14,Fantasy
1798,619,7,Action
1799,620,17,Biography
1800,620,6,Drama
1801,620,5,Adventure
1802,621,0,Crime
1803,621,6,Drama
1804,621,3,Comedy
1805,622,16,Romance
1806,622,3,Comedy
1807,623,10,History
1808,623,11,Historical
1809,623,6,Drama
1810,624,3,Comedy
1811,624,15,Family
1812,624,4,Animation
1813,624,5,Adventure
1814,625,2,Thriller
1815,625,6,Drama
1816,625,5,Adventure
1817,626,2,Thriller
1818,626,7,Action
1819,626,5,Adventure
1820,627,6,Drama
1821,627,7,Action
1822,627,5,Adventure
1823,628,3,Comedy
1824,628,4,Animation
1825,628,5,Adventure
1826,629,16,Romance
1827,629,6,Drama
1828,629,3,Comedy
1829,630,4,Animation
1830,630,7,Action
1831,630,3,Comedy
1832,631,0,Crime
1833,631,8,Mystery
1834,631,2,Thriller
1835,631,6,Drama
1836,632,16,Romance
1837,632,6,Drama
1838,632,3,Comedy
1839,633,4,Animation
1840,633,7,Action
1841,633,5,Adventure
1842,634,0,Crime
1843,634,17,Biography
1844,634,6,Drama
1845,635,2,Thriller
1846,635,14,Fantasy
1847,635,1,Horror
1848,635,8,Mystery
1849,636,0,Crime
1850,636,6,Drama
1851,636,2,Thriller
1852,636,7,Action
1853,637,15,Family
1854,637,6,Drama
1855,637,3,Comedy
1856,638,16,Romance
1857,638,6,Drama
1858,638,3,Comedy
1859,639,2,Thriller
1860,639,6,Drama
1861,640,16,Romance
1862,640,6,Drama
1863,641,20,Music
1864,641,6,Drama
